Title,Date,Price,Neighborhood,Housing
**(West LA/Westwood-XXLarge 2Bed 2Bath+Balcony&Gated Parking)**,May 11,$2495, (West LA/UCLA/Westwood/ 90025),"
                    2br -
                    1213ft2 -
                "
"Weho Office for rent-therapy, bodyworkers, healers",May 11,$85, (weho),"
                    400ft2 -
                "
Oceanfront building on the most exclusive beach in the South Bay.,May 11,$2400, (Redondo Beach),"
                    1br -
                "
Party space for rent in DTLA $500,May 11,$500, (los angeles),"
                    5000ft2 -
                "
■▀▄ Venice Beach Ocean Retreats!!!,May 11,$200, (Venice Beach /  Marina Del Rey),"
                    2br -
                    800ft2 -
                "
✂✂ Cut Down on Those Move-In Costs with One Month FREE! ✂,May 11,$2199, (Hollywood),"
                    1br -
                    730ft2 -
                "
**West LA/Palms-X Large 1Bedroom 1 Bath+Parking&Controlled Acces**,May 11,$1695, (West LA/Palms/UCLA/ 90034),"
                    1br -
                    584ft2 -
                "
*(West LA/Westwood-XLarge Top Floor Studio+Full Kitchen &Gated Entry)*,May 11,$1650, (West LA/UCLA/Westwood/ 90025),"
                    411ft2 -
                "
OPEN HOUSE 3BED2.5BATH CONDO MONROVIA,May 11,$2280, (MONROVIA),"
                    3br -
                    1550ft2 -
                "
**((West LA/Santa Monica -XLarge Studio with Paid Utilities +Patio))**,May 11,$1575, (West LA/UCLA/Westwood/ 90025),"
                    463ft2 -
                "
**West LA/Westwood-XXLarge 3Bedroom 2Bath+Balcony & Gated Parking))*,May 11,$3295, (Westwood/West LA/UCLA/Santa Monica),"
                    3br -
                    1260ft2 -
                "
**(Inglewood -XLarge Top Floor 2 Bedroom 1 Bath+Yard & 2 Car Parking)*,May 11,$1650, (Inglewood/Westchester/Ladera Hights),"
                    2br -
                    933ft2 -
                "
OPEN HOUSE SUN 2-5pm - Luxurious Hollywood Hills tri-level Home,May 11,$2095000, (Whitley Heights),"
                    4br -
                    4792ft2 -
                "
***The Perfect Place to Call Home - 1bd/1bath - San Regis Apt***,May 11,$1749, (Van Nuys),"
                    1br -
                    683ft2 -
                "
"Gorgeous Townhouse, Washer Dryer, Central AC, WD Flr, Granite,SS Appls",May 11,$2895, (TUJUNGA),"
                    3br -
                    1620ft2 -
                "
"SPACIOUS TOWNHOUSE, WASHER DRYER, WD FLR, CNTRL AC, ATTACHED GARAGE,",May 11,$2895, (TUJUNGA),"
                    3br -
                    1620ft2 -
                "
"PERFECT ROOM FOR SERIOUS STUDENT! 2BR HOUSE/ALL UTILITIES! BUSES,FWYS!",May 11,$900, (Encino),
"2/BD, On-Site Management, Swimming Pool",May 11,$1525, (Lancaster CA),"
                    2br -
                    896ft2 -
                "
Ranch Cottage,May 11,$125, (Lake Isabella/ Weldon),"
                    2br -
                "
700 All Inclusive!! Short Term Rental Close to Arcadia!!,May 11,$700," (Duarte, CA)","
                    1br -
                "
Guest/Pool House for rent,May 11,$1800, (Sherman Oaks),"
                    2br -
                    500ft2 -
                "
"NEWLY REMODELED, HIGH END MATERIALS. HARDWOOD FLOORS, CUSTOM FINISHES.",May 11,$1695, (Old Town Torrance),"
                    1br -
                "
2BR/2BTH/2PK ✿ Corner Unit ^ Wood Floor ^ SS APLS ^ W/D ^ Patio,May 11,$2795, (Sherman Oaks - Studio City),"
                    2br -
                "
"Room in 2 Story House, Available June 1st",May 11,$800, (Redondo Beach),
Airstream vacation trailer,May 11,$95, (Lake Isabella/ Weldon),
Silver Strand - 1b in 2b + 2b / 2 blocks to Marina and Venice Beach,May 11,$2000, (Venice / Marina),"
                    1000ft2 -
                "
2 bed 2Bath with Large Private Patio and Convenient to the Beach!,May 11,$3250, (Redondo Beach),"
                    2br -
                    915ft2 -
                "
"1bd 1ba, Friendly Staff, Located in West Covina",May 11,$1429, (Close to 10 freeway),"
                    1br -
                    830ft2 -
                "
Room for rent,May 11,$1000, (West LB),
